,filename,duration,annotation_exist
259,97-45a270-NIC(E),184.29387755102042,False
260,97-13b075-GF,189.34131519274376,False
261,97-04a016-D,194.4903401360544,False
262,97-46a276-DIA(L),187.939410430839,True
263,97-34b203-CAM(L),190.38040816326532,True
264,97-59a358-D,190.98122448979592,True
265,97-70b430-C(A),184.11392290249432,False
266,97-40b242-DIA(L),192.04934240362812,False
267,97-30b179-CAM(L),181.65551020408162,False
268,97-19b113-L3,189.20199546485262,True
269,97-24a138-L3,184.98467120181405,True
270,97-80a482-NIC(E),180.47709750566892,True
271,97-75b460-L3,197.8049886621315,True
272,97-41a243-DIA(E),185.20526077097506,False
273,97-63a383-DIA(L),189.4574149659864,False
274,97-30b179-E1,183.1764172335601,False
275,97-59a358-DIA(E),184.6421768707483,True
276,97-38a225-POL(L),194.30167800453515,True
277,97-65a396-NIC(E),185.95410430839001,False
278,97-51b311-L3,182.52045351473922,True
279,97-13b074-D!E,181.6584126984127,True
280,97-65b397-DIA(L),203.1717006802721,False
281,97-27b161-L3,175.4790022675737,False
282,97-78b474-DIA(L),187.88426303854877,False
283,97-10b056-D,185.17043083900228,False
284,97-22a131-L3,187.28925170068027,True
285,97-38a224-DIA(E),195.65714285714284,False
286,97-60a363-NIC(E),188.76662131519274,False
287,97-24a138-CAM(L),192.8910657596372,True
288,97-11b061-DIA(T),194.04916099773243,False
289,97-75b458-L3,181.57714285714286,True
290,97-62b379-DIA(L),192.52825396825398,False
291,97-72b442-C(A),183.17931972789117,True
292,97-01a001-GF,184.48253968253968,False
293,97-41a243-NIC(E),180.72090702947847,False
294,97-67a406-C(A),193.91564625850341,False
295,97-70a425-DIA(E),190.98702947845806,True
296,97-01b006-GF,188.2528798185941,False
297,97-75b458-DIA(L),185.75383219954648,True
298,97-30a175-CAM(E),185.6174149659864,True
299,97-61b372-NIC(E),185.85541950113378,False
300,97-56b343-D,188.2383673469388,False
301,97-19a108-L2,185.59419501133786,False
302,97-68a414-E2,179.6150566893424,False
303,97-36b214-DIA(E),188.51283446712017,True
304,97-30a177-L3,175.08426303854876,False
305,97-01a001-L1,191.73006802721088,True
306,97-51a307-DIA(E),190.92607709750567,True
307,97-01b006-L1,193.41641723356008,True
308,97-10b056-D(2),194.69641723356008,False
309,97-22a131-GF,184.69732426303855,True
310,97-09b048-D,189.79990929705215,False
311,97-70a427-E1,175.8185941043084,False
312,97-32a189-D,191.1437641723356,True
313,97-50a302-L,127.60526077097505,True
314,97-18b104-L2,186.63619047619048,True
315,97-75a457-DIA(L),191.10022675736963,False
316,97-05b023-L3,184.66249433106577,False
317,97-12a065-DIA(E),192.264126984127,False
318,97-19b113-H,178.14349206349206,False
319,97-61a369-DIA(E),184.85115646258504,False
320,97-77a467-DIA(L),186.31401360544217,False
321,97-35a206-POL(L),196.8065306122449,True
322,97-02a009-E2,185.4984126984127,True
323,97-73b447-NIC(E),184.89469387755102,False
324,97-58a353-DIA(L),187.33859410430838,False
325,97-18a102-E1,182.86875283446713,False
326,97-68a412-E2,193.36997732426303,True
327,97-53b327-L3,193.64281179138322,True
328,97-75b460-DIA(L),178.77043083900227,False
329,97-51a307-NIC(E),184.43319727891156,False
330,97-18b105-E1,166.7657142857143,False
331,97-74b452-DIA(L),191.97097505668935,False
332,97-01a004-H,183.1590022675737,True
333,97-08b041-H,196.02866213151927,False
334,97-70a427-DIA(E),183.1502947845805,True
335,97-55a336-DIA(L),185.23138321995464,True
336,97-30a175-L3,180.29714285714286,True
337,97-30a177-CAM(E),175.06684807256235,False
338,97-12b068-DIA(E),186.03537414965987,True
339,97-48b291-DIA(L),187.9887528344671,False
340,97-46b281-NIC(E),190.90866213151926,False
341,97-08a040-D,191.0247619047619,False
342,97-70a425-E1,191.67201814058956,False
343,97-74b452-E1,187.58530612244897,False
344,97-56b343-DIA(E),190.5342403628118,True
345,97-54a328-L3,188.73179138321996,True
